2025-01-01,ORD93810,645.52,Jiangsu
2025-01-01,ORD46048,1299.97,Shanghai
2025-01-01,ORD23434,3415.83,Sichuan
2025-01-01,ORD21395,2993.41,Beijing
2025-01-01,ORD13905,559.11,Shanghai
2025-01-01,ORD76237,3049.89,Sichuan
2025-01-01,ORD36062,3608.5,Jiangsu
2025-01-01,ORD81426,2155.65,Zhejiang
2025-01-01,ORD87236,1463.13,Beijing
2025-01-01,ORD30926,3520.88,Guangdong
2025-01-02,ORD46421,861.85,Guangdong
2025-01-02,ORD23396,554.45,Beijing
2025-01-02,ORD57052,4252.72,Sichuan
2025-01-02,ORD44671,4054.93,Jiangsu
2025-01-02,ORD70217,2727.52,Zhejiang
2025-01-02,ORD20328,2805.0,Jiangsu
2025-01-02,ORD91070,4438.71,Guangdong
2025-01-02,ORD85674,1042.21,Beijing
2025-01-02,ORD16006,3340.19,Guangdong
2025-01-02,ORD20458,4291.06,Beijing
2025-01-03,ORD59823,1462.07,Jiangsu
2025-01-03,ORD57819,897.01,Guangdong
2025-01-03,ORD37460,3383.86,Jiangsu
2025-01-03,ORD99593,3275.37,Sichuan
2025-01-03,ORD93227,938.58,Jiangsu
2025-01-03,ORD42087,900.67,Zhejiang
2025-01-03,ORD45382,4948.66,Jiangsu
2025-01-03,ORD83000,1176.11,Guangdong
2025-01-03,ORD17331,1222.34,Beijing
2025-01-03,ORD51347,2065.71,Beijing
2025-01-04,ORD37653,4574.37,Sichuan
2025-01-04,ORD51245,1141.87,Zhejiang
2025-01-04,ORD61856,4434.95,Jiangsu
2025-01-04,ORD70142,800.07,Shanghai
2025-01-04,ORD42325,3750.45,Sichuan
2025-01-04,ORD44438,3760.37,Zhejiang
2025-01-04,ORD86484,2057.06,Shanghai
2025-01-04,ORD28131,2596.68,Beijing
2025-01-04,ORD16175,4319.4,Shanghai
2025-01-04,ORD92240,883.91,Jiangsu
2025-01-05,ORD65333,3022.4,Zhejiang
2025-01-05,ORD60019,3019.85,Zhejiang
2025-01-05,ORD79352,1331.93,Sichuan
2025-01-05,ORD11504,3433.39,Beijing
2025-01-05,ORD99353,4435.46,Guangdong
2025-01-05,ORD94012,1766.86,Guangdong
2025-01-05,ORD66985,874.97,Beijing
2025-01-05,ORD44522,4862.25,Shanghai
2025-01-05,ORD76542,4571.88,Jiangsu
2025-01-05,ORD49117,4224.18,Sichuan
2025-01-06,ORD89818,1074.66,Guangdong
2025-01-06,ORD31174,2742.96,Sichuan
2025-01-06,ORD10074,3034.83,Zhejiang
2025-01-06,ORD12552,648.15,Guangdong
2025-01-06,ORD50306,1273.32,Shanghai
2025-01-06,ORD84364,4740.05,Beijing
2025-01-06,ORD73699,4098.51,Sichuan
2025-01-06,ORD26483,729.12,Zhejiang
2025-01-06,ORD82063,909.12,Sichuan
2025-01-06,ORD89507,2173.38,Shanghai
2025-01-07,ORD80686,3800.8,Jiangsu
2025-01-07,ORD36365,3593.45,Zhejiang
2025-01-07,ORD98039,3284.4,Zhejiang
2025-01-07,ORD77839,2312.28,Shanghai
2025-01-07,ORD39451,413.73,Beijing
2025-01-07,ORD87110,2814.22,Sichuan
2025-01-07,ORD38864,135.24,Jiangsu
2025-01-07,ORD92719,388.48,Beijing
2025-01-07,ORD14117,4312.21,Beijing
2025-01-07,ORD77391,1266.22,Jiangsu
2025-01-08,ORD73624,1149.76,Shanghai
2025-01-08,ORD84847,2923.44,Shanghai
2025-01-08,ORD71993,4056.74,Shanghai
2025-01-08,ORD22363,574.96,Zhejiang
2025-01-08,ORD56438,2175.54,Zhejiang
2025-01-08,ORD17100,3399.49,Jiangsu
2025-01-08,ORD22899,397.0,Jiangsu
2025-01-08,ORD54473,4022.9,Beijing
2025-01-08,ORD42591,1038.79,Sichuan
2025-01-08,ORD68800,786.89,Shanghai
2025-01-09,ORD46509,2366.88,Beijing
2025-01-09,ORD68082,4059.31,Sichuan
2025-01-09,ORD22833,347.88,Sichuan
2025-01-09,ORD11934,4848.08,Shanghai
2025-01-09,ORD31798,2091.43,Zhejiang
2025-01-09,ORD38016,4336.79,Beijing
2025-01-09,ORD31579,1956.97,Zhejiang
2025-01-09,ORD44760,4639.94,Zhejiang
2025-01-09,ORD47388,2172.74,Jiangsu
2025-01-09,ORD82845,3343.17,Zhejiang
2025-01-10,ORD30289,1030.5,Shanghai
2025-01-10,ORD17665,2937.98,Sichuan
2025-01-10,ORD17989,3765.08,Beijing
2025-01-10,ORD16572,2962.47,Sichuan
2025-01-10,ORD79615,871.42,Sichuan
2025-01-10,ORD20500,4271.58,Beijing
